160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
154	83	222
160	160	128
153	83	222
160	160	128
153	84	222
160	160	128
152	84	222
160	160	128
151	84	222
160	160	128
151	84	222
160	160	128
160	160	128
147	86	222
160	160	128
157	146	222
157	146	222
160	160	128
160	160	128
160	160	128
156	147	222
160	160	128
156	147	222
156	148	222
156	148	222
156	148	222
156	148	222
156	148	222
156	148	222
155	148	222
155	148	222
155	148	222
155	148	222
155	149	222
155	149	222
155	149	222
155	149	222
155	149	222
154	149	222
155	149	222
154	149	222
154	149	222
154	149	222
154	149	222
154	149	222
154	149	222
154	149	222
154	149	222
153	149	222
153	149	222
153	149	222
153	149	222
153	149	222
153	149	222
153	149	222
153	149	222
153	149	222
153	149	222
152	149	222
152	149	222
152	150	222
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
112	104	222
160	160	128
112	105	222
160	160	128
111	105	222
160	160	128
111	105	222
160	160	128
110	106	222
160	160	128
109	106	222
160	160	128
109	106	222
160	160	128
108	107	222
107	107	222
107	107	222
106	107	222
105	108	222
104	108	222
104	108	222
103	108	222
102	109	222
102	109	222
101	109	222
100	109	222
99	110	222
98	110	222
98	110	222
97	111	222
96	111	222
95	112	222
94	112	222
93	112	222
93	112	222
92	113	222
91	113	222
90	113	222
90	114	222
88	114	222
87	114	222
87	115	222
86	115	222
85	116	222
84	116	222
83	116	222
81	116	222
81	117	222
80	117	222
79	118	222
78	118	222
77	119	222
76	119	222
74	119	222
73	120	222
72	120	222
71	121	222
71	122	222
71	123	222
71	124	222
72	125	222
72	126	222
73	127	222
74	128	222
74	130	222
75	131	222
75	132	222
75	133	222
76	134	222
76	135	222
76	136	222
77	137	222
77	138	222
78	139	222
78	139	222
79	140	222
79	141	222
79	142	222
79	143	222
80	144	222
80	145	222
81	145	222
81	146	222
81	147	222
81	148	222
81	149	222
82	149	222
82	150	222
83	151	222
83	152	222
83	152	222
83	153	222
84	154	222
84	155	222
84	155	222
85	156	222
85	157	222
85	157	222
86	158	222
86	159	222
86	160	222
86	160	222
87	161	222
87	162	222
87	162	222
87	163	222
88	164	222
88	164	222
88	165	222
89	166	222
89	166	222
89	167	222
90	167	222
90	168	222
90	169	222
90	169	222
91	170	222
91	171	222
91	171	222
91	172	222
92	172	222
92	173	222
92	174	222
92	174	222
92	175	222
93	176	222
93	176	222
93	177	222
93	177	222
94	178	222
94	178	222
94	180	222
95	180	222
95	181	222
95	181	222
95	182	222
96	183	222
96	183	222
160	160	128
96	184	222
96	184	222
96	185	222
97	186	222
97	186	222
98	186	222
116	181	222
119	181	222
160	160	128
120	181	222
160	160	128
121	181	222
160	160	128
122	181	222
160	160	128
123	180	222
124	180	222
160	160	128
125	181	222
125	181	222
126	181	222
121	185	222
122	185	222
123	185	222
123	186	222
160	160	128
124	186	222
160	160	128
124	186	222
160	160	128
122	189	222
126	187	222
128	186	222
160	160	128
129	186	222
160	160	128
160	160	128
133	184	222
160	160	128
134	184	222
135	184	222
135	183	222
160	160	128
136	183	222
160	160	128
137	183	222
138	182	222
138	182	222
139	182	222
140	182	222
140	181	222
141	181	222
141	181	222
142	181	222
142	180	222
143	180	222
143	180	222
144	180	222
144	180	222
145	179	222
145	179	222
146	179	222
146	179	222
146	179	222
147	179	222
147	179	222
148	178	222
148	178	222
148	178	222
149	178	222
149	178	222
149	178	222
151	175	222
152	175	222
160	160	128
152	175	222
152	175	222
152	174	222
153	174	222
153	174	222
153	174	222
153	174	222
153	174	222
154	174	222
154	174	222
154	174	222
154	174	222
154	174	222
154	174	222
155	174	222
155	174	222
155	174	222
155	174	222
155	174	222
155	174	222
156	174	222
156	174	222
156	174	222
156	174	222
156	173	222
156	173	222
157	173	222
157	173	222
157	173	222
157	173	222
157	173	222
157	173	222
157	173	222
158	173	222
158	173	222
158	173	222
158	173	222
158	173	222
158	173	222
158	173	222
158	173	222
159	173	222
159	173	222
159	173	222
159	173	222
159	173	222
159	173	222
159	173	222
159	173	222
160	173	222
160	173	222
160	173	222
160	173	222
160	172	222
160	172	222
160	172	222
161	172	222
161	172	222
161	172	222
161	172	222
161	172	222
161	172	222
161	172	222
161	172	222
161	172	222
162	172	222
162	172	222
162	172	222
162	172	222
162	172	222
162	172	222
162	172	222
162	172	222
163	172	222
163	172	222
163	172	222
163	172	222
163	172	222
163	172	222
163	172	222
163	172	222
163	172	222
164	172	222
164	172	222
164	172	222
164	172	222
164	172	222
164	172	222
164	172	222
164	171	222
164	171	222
165	171	222
165	171	222
165	171	222
165	171	222
165	171	222
165	171	222
165	171	222
165	171	222
165	171	222
166	171	222
166	171	222
166	171	222
166	171	222
166	171	222
166	171	222
166	171	222
166	171	222
166	171	222
167	171	222
167	171	222
167	171	222
167	170	222
167	170	222
167	170	222
167	170	222
167	170	222
168	170	222
168	170	222
168	170	222
168	170	222
168	170	222
168	170	222
168	170	222
168	170	222
169	170	222
169	170	222
169	170	222
169	170	222
169	170	222
169	170	222
169	170	222
169	170	222
169	169	222
170	169	222
170	169	222
170	169	222
170	169	222
170	169	222
170	169	222
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
